Model/Class,Field Name,Data Type,Optional,Usage Status,Used In Files,Line References,Purpose
AnalyzeRequest,mode,str,No,USED,"api.py, streamlit_app.py","api.py: 130,155,192,209,237,246","Determines analysis mode (github/local/git)"
AnalyzeRequest,github_token,Optional[str],Yes,USED,"api.py, github_connector.py","api.py: 156,161; streamlit_app.py: 482-484","GitHub API authentication token"
AnalyzeRequest,repo_full_name,Optional[str],Yes,USED,"api.py, github_connector.py","api.py: 158,163,186,188,231,261","GitHub repository name in owner/repo format"
AnalyzeRequest,snippets,Optional[Dict[str;str]],Yes,USED,"api.py, streamlit_app.py","api.py: 193,201; streamlit_app.py: 685","Local code snippets for analysis"
AnalyzeRequest,repo_url,Optional[str],Yes,USED,"api.py, git_connector.py","api.py: 212,216,230,231,262; streamlit_app.py: 492","Git repository URL (GitHub, Bitbucket, etc.)"
AnalyzeRequest,branch,Optional[str],Yes,USED,"api.py, git_connector.py","api.py: 213,216; streamlit_app.py: 497","Git branch to analyze (default: main)"
AnalyzeRequest,file_paths,Optional[List[str]],Yes,USED,"api.py, streamlit_app.py","api.py: 214,223,232; streamlit_app.py: 714","List of specific files to analyze from git repo"
AnalyzeRequest,focus_profile,str,No,USED,"api.py, ethics_analyzer.py","api.py: 131,132","Ethics focus profile selection (1/2/3)"
AnalyzeRequest,languages,Optional[List[str]],Yes,USED,"api.py, github_connector.py","api.py: 169,207,261; streamlit_app.py: 487","Programming languages to filter by"
AnalyzeRequest,create_github_issue,bool,No,USED,"api.py, github_connector.py","api.py: 246,247,249","Flag to create GitHub issue if score < 50"
AnalyzeRequest,save_json_report,bool,No,USED,"api.py, streamlit_app.py","api.py: 259,264,272; streamlit_app.py: 471,665,731","Flag to save analysis report as JSON"
EthicsIssue,file_path,str,No,USED,"ethics_analyzer.py, github_connector.py","ethics_analyzer.py: 312; github_connector.py: 310,554","Source file path where issue was detected"
EthicsIssue,line_number,int,No,USED,"ethics_analyzer.py, github_connector.py","ethics_analyzer.py: 312; github_connector.py: 311,555","Line number where issue was detected"
EthicsIssue,issue_type,str,No,USED,"ethics_analyzer.py, github_connector.py, streamlit_app.py","ethics_analyzer.py: 312; github_connector.py: 365; streamlit_app.py: varies","Classification of issue (governance, privacy, etc.)"
EthicsIssue,severity,str,No,USED,"ethics_analyzer.py, github_connector.py, streamlit_app.py","ethics_analyzer.py: 212,312; github_connector.py: 361; streamlit_app.py: varies","Severity level (critical, high, medium, low)"
EthicsIssue,message,str,No,USED,"ethics_analyzer.py, github_connector.py","ethics_analyzer.py: 312; github_connector.py: 310,558","Descriptive message about the issue"
EthicsIssue,suggestion,str,No,USED,"ethics_analyzer.py, github_connector.py, streamlit_app.py","ethics_analyzer.py: 312; github_connector.py: 367; streamlit_app.py: 143,159","Remediation suggestion for the issue"
EthicsIssue,code_snippet,str,Yes,USED,"ethics_analyzer.py, github_connector.py, streamlit_app.py","ethics_analyzer.py: 312; github_connector.py: 560","Code snippet showing the issue (default empty)"
